normalized_key,primary_name,observed_names,match_status,occurrence_count,roles,match_candidate_count,matched_item_name,matched_category,matched_museum_category,matched_obtainable,notes
book of flora,Book of Flora,Book of Flora,matched,1,page_item,1,Book of Flora,Item,Items,Y,
book of insects,Book of Insects,Book of Insects,matched,1,page_item,1,Book of Insects,Item,Items,Y,
book of knots,Book of Knots,Book of Knots,matched,1,page_item,1,Book of Knots,Item,Items,Y,
book of maps,Book of Maps,Book of Maps,matched,1,page_item,1,Book of Maps,Item,Items,Y,
book of schemas,Book of Schemas,Book of Schemas,matched,1,page_item,1,Book of Schemas,Item,Items,Y,
book of skill,Book of Skill,Book of Skill,matched,1,page_item,1,Book of Skill,Item,Items,Y,
book of spells,Book of Spells,Book of Spells,matched,1,page_item,1,Book of Spells,Event,Event,Y,
book of time,Book of Time,Book of Time,matched,1,page_item,1,Book of Time,Item,Items,Y,
borgen bag 01,Borgen Bag 01,Borgen Bag 01,matched,1,page_item,1,Borgen Bag 01,Item,Items,Y,
borgen bobblehead,Borgen Bobblehead,Borgen Bobblehead,matched,1,page_item,1,Borgen Bobblehead,Item,Items,Y,
borgen buck,Borgen Buck,Borgen Buck,matched,1,page_item,1,Borgen Buck,Item,Items,Y,
borgen's dancing belt,Borgen's Dancing Belt,Borgen's Dancing Belt,matched,1,page_item,1,Borgen's Dancing Belt,Item,Items,Y,
red flowers,Red Flowers,Red Flowers,matched,2,ingredient; page_item,1,Red Flowers,Item,Items,Y,
yellow flowers,Yellow Flowers,Yellow Flowers,matched,2,ingredient; page_item,1,Yellow Flowers,Item,Items,Y,
orange flowers,Orange Flowers,Orange Flowers,matched,2,ingredient; page_item,1,Orange Flowers,Item,Items,Y,
white flowers,White Flowers,White Flowers,matched,2,ingredient; page_item,1,White Flowers,Item,Items,Y,
bouquet of roses,Bouquet of Roses,Bouquet of Roses,matched,1,page_item,1,Bouquet of Roses,Event,Event,Y,
box of chocolate 01,Box of Chocolate 01,Box of Chocolate 01,matched,1,page_item,1,Box of Chocolate 01,Event,Event,Y,
box of chocolate 02,Box of Chocolate 02,Box of Chocolate 02,matched,1,page_item,1,Box of Chocolate 02,Event,Event,Y,
box of holiday cakes,Box of Holiday Cakes,Box of Holiday Cakes,matched,1,page_item,1,Box of Holiday Cakes,Event,Event,Y,
brain fungus,Brain Fungus,Brain Fungus,matched,1,page_item,1,Brain Fungus,Item,Items,Y,
bread,Bread,Bread,matched,1,page_item,1,Bread,Item,Items,Y,
breakfast boost,Breakfast Boost,Breakfast Boost,matched,1,page_item,1,Breakfast Boost,Meal,Meals,Y,
lorn's breakfast boost,Lorn's Breakfast Boost,Lorn's Breakfast Boost,matched,2,page_item; recipe_book,1,Lorn's Breakfast Boost,Item,Items,Y,
eggs,Eggs,Eggs,matched,5,ingredient; page_item,1,Eggs,Item,Items,Y,
cabbage,Cabbage,Cabbage,matched,3,ingredient; page_item,1,Cabbage,Crop,Crops,Y,
cheese,Cheese,Cheese,matched,3,ingredient; page_item,1,Cheese,Item,Items,Y,
grape juice,Grape Juice,Grape Juice,matched,4,ingredient; page_item; used_in_target,1,Grape Juice,Item,Items,Y,
briomine,Briomine,Briomine,matched,1,page_item,1,Briomine,Item,Items,Y,
broccoli,Broccoli,Broccoli,matched,1,page_item,1,Broccoli,Crop,Crops,Y,
broccoli seeds,Broccoli Seeds,Broccoli Seeds,matched,1,page_item,1,Broccoli Seeds,Seed,Seeds,Y,
broken bangle,Broken Bangle,Broken Bangle,matched,1,page_item,1,Broken Bangle,Item,Items,Y,
broken memory belt,Broken Memory Belt,Broken Memory Belt,matched,1,page_item,1,Broken Memory Belt,Item,Items,Y,
broken pipe,Broken Pipe,Broken Pipe,matched,6,ingredient; page_item,1,Broken Pipe,Item,Items,Y,
kill switch,Kill Switch,Kill Switch,matched,7,ingredient; page_item; used_in_target,1,Kill Switch,Item,Items,Y,
metal spool,Metal Spool,Metal Spool,matched,6,ingredient; page_item; used_in_target,1,Metal Spool,Item,Items,Y,
control box,Control Box,Control Box,matched,8,ingredient; page_item; used_in_target,1,Control Box,Item,Items,Y,
power monitor,Power Monitor,Power Monitor,matched,8,ingredient; page_item; used_in_target,1,Power Monitor,Item,Items,Y,
broken sword,Broken Sword,Broken Sword,matched,1,page_item,1,Broken Sword,Item,Items,Y,
brooch of the bahltruvian elite,Brooch of the Bahltruvian Elite,Brooch of the Bahltruvian Elite,matched,1,page_item,1,Brooch of the Bahltruvian Elite,Item,Items,Y,
straw,Straw,Straw,matched,5,ingredient; page_item,1,Straw,Item,Items,Y,
brown bag,Brown Bag,Brown Bag,matched,3,page_item; used_in_target,1,Brown Bag,Item,Items,Y,
brown dye,Brown Dye,Brown Dye,matched,6,ingredient; page_item; used_in_target,1,Brown Dye,Item,Items,Y,
brown cloak,Brown Cloak,Brown Cloak,matched,5,page_item; used_in_target,1,Brown Cloak,Item,Items,Y,
mudcap,Mudcap,Mudcap,matched,3,ingredient; page_item,1,Mudcap,Item,Items,Y,
brown twine,Brown Twine,Brown Twine,matched,3,page_item; used_in_target,1,Brown Twine,Item,Items,Y,
re'taw pail,Re'taw Pail,Re'taw Pail,matched,4,page_item; used_in_target,1,Re'taw Pail,Item,Items,Y,
chum,Chum,Chum,matched,5,page_item; used_in_target,1,Chum,Item,Items,Y,
red brick,Red Brick,Red Brick,matched,6,page_item; used_in_target,1,Red Brick,Item,Items,Y,
buddy bobblehead,Buddy Bobblehead,Buddy Bobblehead,matched,1,page_item,1,Buddy Bobblehead,Item,Items,Y,
buddy cushion,Buddy Cushion,Buddy Cushion,matched,1,page_item,1,Buddy Cushion,Event,Event,Y,
buddy doll,Buddy Doll,Buddy Doll,matched,1,page_item,1,Buddy Doll,Item,Items,Y,
buddy doll bag 01,Buddy Doll Bag 01,Buddy Doll Bag 01,matched,1,page_item,1,Buddy Doll Bag 01,Item,Items,Y,
buddy doll bag 02,Buddy Doll Bag 02,Buddy Doll Bag 02,matched,1,page_item,1,Buddy Doll Bag 02,Item,Items,Y,
buddy elf on a shelf,Buddy Elf on a Shelf,Buddy Elf on a Shelf,matched,1,page_item,1,Buddy Elf on a Shelf,Event,Event,Y,
buddy loves you card,Buddy Loves You Card,Buddy Loves You Card,matched,1,page_item,1,Buddy Loves You Card,Card,Cards,Y,
buddy's beach bag,Buddy's Beach Bag,Buddy's Beach Bag,matched,1,page_item,1,Buddy's Beach Bag,Item,Items,Y,
buddy's beach ball,Buddy's Beach Ball,Buddy's Beach Ball,matched,1,page_item,1,Buddy's Beach Ball,Event,Event,Y,
buddy's old pirate belt,Buddy's Old Pirate Belt,Buddy's Old Pirate Belt,matched,1,page_item,1,Buddy's Old Pirate Belt,Item,Items,Y,
buddy's school bag,Buddy's School Bag,Buddy's School Bag,matched,1,page_item,1,Buddy's School Bag,Item,Items,Y,
buddy's sleeping cap,Buddy's Sleeping Cap,Buddy's Sleeping Cap,matched,1,page_item,1,Buddy's Sleeping Cap,Item,Items,Y,
buddystone,Buddystone,Buddystone,matched,1,page_item,1,Buddystone,Item,Items,Y,
bug bag 01,Bug Bag 01,Bug Bag 01,matched,1,page_item,1,Bug Bag 01,Item,Items,Y,
bullfish,Bullfish,Bullfish,matched,1,page_item,1,Bullfish,Fish,Fish,Y,
bunny buddy doll,Bunny Buddy Doll,Bunny Buddy Doll,matched,1,page_item,1,Bunny Buddy Doll,Item,Items,Y,
bunny ears,Bunny Ears,Bunny Ears,matched,1,page_item,1,Bunny Ears,Event,Event,Y,
milk,Milk,Milk,matched,9,ingredient; page_item,1,Milk,Item,Items,Y,
cabbage seeds,Cabbage Seeds,Cabbage Seeds,matched,1,page_item,1,Cabbage Seeds,Seed,Seeds,Y,
cabbage stew,Cabbage Stew,Cabbage Stew,matched,1,page_item,1,Cabbage Stew,Meal,Meals,Y,
carrot,Carrot,Carrot,matched,6,ingredient; page_item,1,Carrot,Crop,Crops,Y,
potato,Potato,Potato,matched,4,ingredient; page_item,1,Potato,Crop,Crops,Y,
herbs,Herbs,Herbs,matched,5,ingredient; page_item,1,Herbs,Item,Items,Y,
leek,Leek,Leek,matched,4,ingredient; page_item,1,Leek,Crop,Crops,Y,
onion,Onion,Onion,matched,7,ingredient; page_item,1,Onion,Crop,Crops,Y,
tomato,Tomato,Tomato,matched,5,ingredient; page_item,1,Tomato,Crop,Crops,Y,
calavera 01,Calavera 01,Calavera 01,matched,1,page_item,1,Calavera 01,Event,Event,Y,
calavera 02,Calavera 02,Calavera 02,matched,1,page_item,1,Calavera 02,Event,Event,Y,
calcifite,Calcifite,Calcifite,matched,1,page_item,1,Calcifite,Item,Items,Y,
candy,Candy,Candy,matched,1,page_item,1,Candy,Event,Event,Y,
candy cane,Candy Cane,Candy Cane,matched,1,page_item,1,Candy Cane,Event,Event,Y,
candy corn,Candy Corn,Candy Corn,matched,1,page_item,1,Candy Corn,Event,Event,Y,
candy roll,Candy Roll,Candy Roll,matched,1,page_item,1,Candy Roll,Event,Event,Y,
machine part,Machine Part,Machine Part,matched,4,ingredient; page_item,1,Machine Part,Item,Items,Y,
scrap metal,Scrap Metal,Scrap Metal,matched,5,ingredient; page_item,1,Scrap Metal,Item,Items,Y,
emberstone,Emberstone,Emberstone,matched,10,ingredient; page_item,1,Emberstone,Item,Items,Y,
captains log,Captains Log,Captains Log,matched,1,page_item,1,Captains Log,Item,Items,Y,
captured ghost,Captured Ghost,Captured Ghost,matched,1,page_item,1,Captured Ghost,Event,Event,Y,
capy birthday card,Capy Birthday Card,Capy Birthday Card,matched,1,page_item,1,Capy Birthday Card,Card,Cards,Y,
carbon sphere,Carbon Sphere,Carbon Sphere,matched,3,ingredient; page_item,1,Carbon Sphere,Item,Items,Y,
carnevale,Carnevale,Carnevale,matched,1,page_item,1,Carnevale,Event,Event,Y,
carp,Carp,Carp,matched,1,page_item,1,Carp,Fish,Fish,Y,
carrot seeds,Carrot Seeds,Carrot Seeds,matched,1,page_item,1,Carrot Seeds,Seed,Seeds,Y,
carved bear,Carved Bear,Carved Bear,matched,1,page_item,1,Carved Bear,Item,Items,Y,
carved camel,Carved Camel,Carved Camel,matched,1,page_item,1,Carved Camel,Item,Items,Y,
carved chicken,Carved Chicken,Carved Chicken,matched,1,page_item,1,Carved Chicken,Item,Items,Y,
carved cow,Carved Cow,Carved Cow,matched,1,page_item,1,Carved Cow,Item,Items,Y,
carved dragon,Carved Dragon,Carved Dragon,matched,1,page_item,1,Carved Dragon,Item,Items,Y,
carved fox,Carved Fox,Carved Fox,matched,1,page_item,1,Carved Fox,Item,Items,Y,
carved kitty,Carved Kitty,Carved Kitty,matched,1,page_item,1,Carved Kitty,Item,Items,Y,
carved moose,Carved Moose,Carved Moose,matched,1,page_item,1,Carved Moose,Item,Items,Y,
carved mouse,Carved Mouse,Carved Mouse,matched,1,page_item,1,Carved Mouse,Item,Items,Y,
carved owl,Carved Owl,Carved Owl,matched,1,page_item,1,Carved Owl,Item,Items,Y,
carved pig,Carved Pig,Carved Pig,matched,1,page_item,1,Carved Pig,Item,Items,Y,
carved rabbit,Carved Rabbit,Carved Rabbit,matched,1,page_item,1,Carved Rabbit,Item,Items,Y,
carved rhino,Carved Rhino,Carved Rhino,matched,1,page_item,1,Carved Rhino,Item,Items,Y,
carved squirrel,Carved Squirrel,Carved Squirrel,matched,1,page_item,1,Carved Squirrel,Item,Items,Y,
carved squisquatch,Carved Squisquatch,Carved Squisquatch,matched,1,page_item,1,Carved Squisquatch,Item,Items,Y,
carved warthog,Carved Warthog,Carved Warthog,matched,1,page_item,1,Carved Warthog,Item,Items,Y,
cat's meow,Cat's Meow,Cat's Meow,matched,1,page_item,1,Cat's Meow,Meal,Meals,Y,
thomas's cat's meow,Thomas's Cat's Meow,Thomas's Cat's Meow,matched,2,page_item; recipe_book,1,Thomas's Cat's Meow,Item,Items,Y,
fish bones,Fish Bones,Fish Bones,matched,2,ingredient; page_item,1,Fish Bones,Fish,Fish,Y,
essence of slime,Essence of Slime,Essence of Slime,matched,7,ingredient; page_item; used_in_target,1,Essence of Slime,Item,Items,Y,
purple butterfly,Purple Butterfly,Purple Butterfly,matched,5,page_item; used_in_target,1,Purple Butterfly,Item,Items,Y,
orange butterfly,Orange Butterfly,Orange Butterfly,matched,5,page_item; used_in_target,1,Orange Butterfly,Item,Items,Y,
yellow butterfly,Yellow Butterfly,Yellow Butterfly,matched,5,page_item; used_in_target,1,Yellow Butterfly,Item,Items,Y,
green butterfly,Green Butterfly,Green Butterfly,matched,5,page_item; used_in_target,1,Green Butterfly,Item,Items,Y,
red butterfly,Red Butterfly,Red Butterfly,matched,5,page_item; used_in_target,1,Red Butterfly,Item,Items,Y,
catfish,Catfish,Catfish,matched,1,page_item,1,Catfish,Fish,Fish,Y,
cave key,Cave Key,Cave Key,matched,1,page_item,1,Cave Key,Item,Items,Y,
cave mushroom,Cave Mushroom,Cave Mushroom,matched,1,page_item,1,Cave Mushroom,Item,Items,Y,
cecil bobblehead,Cecil Bobblehead,Cecil Bobblehead,matched,1,page_item,1,Cecil Bobblehead,Item,Items,Y,
cecil's shrimp-a-plenty,Cecil's Shrimp-a-Plenty,Cecil's Shrimp-a-Plenty,matched,2,page_item; recipe_book,1,Cecil's Shrimp-a-Plenty,Item,Items,Y,
cepathorf's case,Cepathorf's Case,Cepathorf's Case,matched,1,page_item,1,Cepathorf's Case,Item,Items,Y,
certificate of beet giving,Certificate of Beet Giving,Certificate of Beet Giving,matched,1,page_item,1,Certificate of Beet Giving,Item,Items,Y,
certificate of broccoli giving,Certificate of Broccoli Giving,Certificate of Broccoli Giving,matched,1,page_item,1,Certificate of Broccoli Giving,Item,Items,Y,
certificate of cabbage giving,Certificate of Cabbage Giving,Certificate of Cabbage Giving,matched,1,page_item,1,Certificate of Cabbage Giving,Item,Items,Y,
certificate of carrot giving,Certificate of Carrot Giving,Certificate of Carrot Giving,matched,1,page_item,1,Certificate of Carrot Giving,Item,Items,Y,
certificate of corn giving,Certificate of Corn Giving,Certificate of Corn Giving,matched,1,page_item,1,Certificate of Corn Giving,Item,Items,Y,
certificate of cotton giving,Certificate of Cotton Giving,Certificate of Cotton Giving,matched,1,page_item,1,Certificate of Cotton Giving,Item,Items,Y,
certificate of cucumber giving,Certificate of Cucumber Giving,Certificate of Cucumber Giving,matched,1,page_item,1,Certificate of Cucumber Giving,Item,Items,Y,
certificate of eggplant giving,Certificate of Eggplant Giving,Certificate of Eggplant Giving,matched,1,page_item,1,Certificate of Eggplant Giving,Item,Items,Y,
certificate of hops giving,Certificate of Hops Giving,Certificate of Hops Giving,matched,1,page_item,1,Certificate of Hops Giving,Item,Items,Y,
certificate of leek giving,Certificate of Leek Giving,Certificate of Leek Giving,matched,1,page_item,1,Certificate of Leek Giving,Item,Items,Y,
certificate of onion giving,Certificate of Onion Giving,Certificate of Onion Giving,matched,1,page_item,1,Certificate of Onion Giving,Item,Items,Y,
certificate of pea giving,Certificate of Pea Giving,Certificate of Pea Giving,matched,1,page_item,1,Certificate of Pea Giving,Item,Items,Y,
certificate of pepper giving,Certificate of Pepper Giving,Certificate of Pepper Giving,matched,1,page_item,1,Certificate of Pepper Giving,Item,Items,Y,
certificate of pine giving,Certificate of Pine Giving,Certificate of Pine Giving,matched,1,page_item,1,Certificate of Pine Giving,Item,Items,Y,
certificate of potato giving,Certificate of Potato Giving,Certificate of Potato Giving,matched,1,page_item,1,Certificate of Potato Giving,Item,Items,Y,
certificate of pumpkin giving,Certificate of Pumpkin Giving,Certificate of Pumpkin Giving,matched,1,page_item,1,Certificate of Pumpkin Giving,Item,Items,Y,
certificate of radish giving,Certificate of Radish Giving,Certificate of Radish Giving,matched,1,page_item,1,Certificate of Radish Giving,Item,Items,Y,
certificate of rice giving,Certificate of Rice Giving,Certificate of Rice Giving,matched,1,page_item,1,Certificate of Rice Giving,Item,Items,Y,
certificate of sugar cane giving,Certificate of Sugar Cane Giving,Certificate of Sugar Cane Giving,matched,1,page_item,1,Certificate of Sugar Cane Giving,Item,Items,Y,
certificate of sunflower giving,Certificate of Sunflower Giving,Certificate of Sunflower Giving,matched,1,page_item,1,Certificate of Sunflower Giving,Item,Items,Y,
certificate of tomato giving,Certificate of Tomato Giving,Certificate of Tomato Giving,matched,1,page_item,1,Certificate of Tomato Giving,Item,Items,Y,
certificate of watermelon giving,Certificate of Watermelon Giving,Certificate of Watermelon Giving,matched,1,page_item,1,Certificate of Watermelon Giving,Item,Items,Y,
certificate of wheat giving,Certificate of Wheat Giving,Certificate of Wheat Giving,matched,1,page_item,1,Certificate of Wheat Giving,Item,Items,Y,
chapiku,Chapiku,Chapiku,matched,1,page_item,1,Chapiku,Item,Items,Y,
charles bobblehead,Charles Bobblehead,Charles Bobblehead,matched,1,page_item,1,Charles Bobblehead,Item,Items,Y,
charles's neigh,Charles's Neigh,Charles's Neigh,matched,2,page_item; recipe_book,1,Charles's Neigh,Item,Items,Y,
chattering teeth,Chattering Teeth,Chattering Teeth,matched,1,page_item,1,Chattering Teeth,Event,Event,Y,
cheese wheel,Cheese Wheel,Cheese Wheel,matched,1,page_item,1,Cheese Wheel,Item,Items,Y,
chocolate bunny,Chocolate Bunny,Chocolate Bunny,matched,1,page_item,1,Chocolate Bunny,Event,Event,Y,
christmas card,Christmas Card,Christmas Card,matched,1,page_item,1,Christmas Card,Event,Event,Y,
christmas present 01,Christmas Present 01,Christmas Present 01,matched,1,page_item,1,Christmas Present 01,Event,Event,Y,
christmas present 02,Christmas Present 02,Christmas Present 02,matched,1,page_item,1,Christmas Present 02,Event,Event,Y,
christmas present 03,Christmas Present 03,Christmas Present 03,matched,1,page_item,1,Christmas Present 03,Event,Event,Y,
christmas present 04,Christmas Present 04,Christmas Present 04,matched,1,page_item,1,Christmas Present 04,Event,Event,Y,
christmas present 05,Christmas Present 05,Christmas Present 05,matched,1,page_item,1,Christmas Present 05,Event,Event,Y,
christmas present 06,Christmas Present 06,Christmas Present 06,matched,1,page_item,1,Christmas Present 06,Event,Event,Y,
christmas present 07,Christmas Present 07,Christmas Present 07,matched,1,page_item,1,Christmas Present 07,Event,Event,Y,
christmas present 08,Christmas Present 08,Christmas Present 08,matched,1,page_item,1,Christmas Present 08,Event,Event,Y,
christmas present 09,Christmas Present 09,Christmas Present 09,matched,1,page_item,1,Christmas Present 09,Event,Event,Y,
christmas present 10,Christmas Present 10,Christmas Present 10,matched,1,page_item,1,Christmas Present 10,Event,Event,Y,
christmas present 11,Christmas Present 11,Christmas Present 11,matched,1,page_item,1,Christmas Present 11,Event,Event,Y,
christmas present 12,Christmas Present 12,Christmas Present 12,matched,1,page_item,1,Christmas Present 12,Event,Event,Y,
christmas stocking,Christmas Stocking,Christmas Stocking,matched,1,page_item,1,Christmas Stocking,Event,Event,Y,
christmas sweater,Christmas Sweater,Christmas Sweater,matched,1,page_item,1,Christmas Sweater,Event,Event,Y,
christmas tree,Christmas Tree,Christmas Tree,matched,1,page_item,1,Christmas Tree,Event,Event,Y,
minnows,Minnows,Minnows,matched,2,ingredient; page_item,1,Minnows,Bait,Bait,Y,
worms,Worms,Worms,matched,2,ingredient; page_item,1,Worms,Bait,Bait,Y,
grubs,Grubs,Grubs,matched,2,ingredient; page_item,1,Grubs,Bait,Bait,Y,
cicada,Cicada,Cicada,matched,1,page_item,1,Cicada,Event,Event,Y,
cicada shell,Cicada Shell,Cicada Shell,matched,1,page_item,1,Cicada Shell,Event,Event,Y,
cid bobblehead,Cid Bobblehead,Cid Bobblehead,matched,1,page_item,1,Cid Bobblehead,Item,Items,Y,
cid's stone ale,Cid's Stone Ale,Cid's Stone Ale,matched,1,page_item,1,Cid's Stone Ale,Item,Items,Y,
circuit breaker belt,Circuit Breaker Belt,Circuit Breaker Belt,matched,1,page_item,1,Circuit Breaker Belt,Item,Items,Y,
clam shell,Clam Shell,Clam Shell,matched,2,ingredient; page_item,1,Clam Shell,Fish,Fish,Y,
clawed card,Clawed Card,Clawed Card,matched,1,page_item,1,Clawed Card,Card,Cards,Y,
cleaver,Cleaver,Cleaver,matched,1,page_item,1,Cleaver,Item,Items,Y,
scrap cloth,Scrap Cloth,Scrap Cloth,matched,2,ingredient; page_item,1,Scrap Cloth,Item,Items,Y,
red shirt,Red Shirt,Red Shirt,matched,4,page_item; used_in_target,1,Red Shirt,Item,Items,Y,
purple shirt,Purple Shirt,Purple Shirt,matched,4,page_item; used_in_target,1,Purple Shirt,Item,Items,Y,
green shirt,Green Shirt,Green Shirt,matched,4,page_item; used_in_target,1,Green Shirt,Item,Items,Y,
orange shirt,Orange Shirt,Orange Shirt,matched,4,page_item; used_in_target,1,Orange Shirt,Item,Items,Y,
yellow shirt,Yellow Shirt,Yellow Shirt,matched,4,page_item; used_in_target,1,Yellow Shirt,Item,Items,Y,
white shirt,White Shirt,White Shirt,matched,4,page_item; used_in_target,1,White Shirt,Item,Items,Y,
clownfish,Clownfish,Clownfish,matched,1,page_item,1,Clownfish,Fish,Fish,Y,
clubs,Clubs,Clubs,matched,1,page_item,1,Clubs,Item,Items,Y,
lantern,Lantern,Lantern,matched,7,ingredient; page_item; used_in_target,1,Lantern,Item,Items,Y,
cockatrice egg,Cockatrice Egg,Cockatrice Egg,matched,1,page_item,1,Cockatrice Egg,Item,Items,Y,
cockatrice ether source,Cockatrice Ether Source,Cockatrice Ether Source,matched,1,page_item,1,Cockatrice Ether Source,Item,Items,Y,
coconut,Coconut,Coconut,matched,1,page_item,1,Coconut,Item,Items,Y,
coderanger's missing semicolon,Coderanger's Missing Semicolon,Coderanger's Missing Semicolon,matched,1,page_item,1,Coderanger's Missing Semicolon,Item,Items,Y,
cogwheel,Cogwheel,Cogwheel,matched,3,ingredient; page_item,1,Cogwheel,Item,Items,Y,
magna core,Magna Core,Magna Core,matched,9,ingredient; page_item; used_in_target,1,Magna Core,Item,Items,Y,
fancy clock,Fancy Clock,Fancy Clock,matched,8,page_item; used_in_target,1,Fancy Clock,Item,Items,Y,
white purse,White Purse,White Purse,matched,3,page_item; used_in_target,1,White Purse,Item,Items,Y,
yellow purse,Yellow Purse,Yellow Purse,matched,3,page_item; used_in_target,1,Yellow Purse,Item,Items,Y,
comet,Comet,Comet,matched,1,page_item,1,Comet,Event,Event,Y,
ruby,Ruby,Ruby,matched,7,ingredient; page_item; used_in_target,1,Ruby,Item,Items,Y,
small screw,Small Screw,Small Screw,matched,5,ingredient; page_item,1,Small Screw,Item,Items,Y,
glass orb,Glass Orb,Glass Orb,matched,15,ingredient; page_item; used_in_target,1,Glass Orb,Item,Items,Y,
y73841 detector,Y73841 Detector,Y73841 Detector,matched,8,page_item; used_in_target,1,Y73841 Detector,Item,Items,Y,
conch shell,Conch Shell,Conch Shell,matched,2,ingredient; page_item,1,Conch Shell,Fish,Fish,Y,
concord grape pie,Concord Grape Pie,Concord Grape Pie,matched,1,page_item,1,Concord Grape Pie,Item,Items,Y,
rosalie's concord grape pie,Rosalie's Concord Grape Pie,Rosalie's Concord Grape Pie,matched,2,page_item; recipe_book,1,Rosalie's Concord Grape Pie,Item,Items,Y,
grapes,Grapes,Grapes,matched,5,ingredient; page_item,1,Grapes,Item,Items,Y,
sweet root,Sweet Root,Sweet Root,matched,3,ingredient; page_item,1,Sweet Root,Item,Items,Y,
congratulations card,Congratulations Card,Congratulations Card,matched,1,page_item,1,Congratulations Card,Card,Cards,Y,
consumption belt,Consumption Belt,Consumption Belt,matched,1,page_item,1,Consumption Belt,Event,Event,Y,
steel plate,Steel Plate,Steel Plate,matched,9,ingredient; page_item; used_in_target,1,Steel Plate,Item,Items,Y,
small spring,Small Spring,Small Spring,matched,4,ingredient; page_item,1,Small Spring,Item,Items,Y,
moonstone,Moonstone,Moonstone,matched,5,ingredient; page_item,1,Moonstone,Item,Items,Y,
cooked fish,Cooked Fish,Cooked Fish,matched,1,page_item,1,Cooked Fish,Item,Items,Y,
cooked turkey,Cooked Turkey,Cooked Turkey,matched,1,page_item,1,Cooked Turkey,Event,Event,Y,
copper wire,Copper Wire,Copper Wire,matched,3,ingredient; page_item,1,Copper Wire,Item,Items,Y,
spool of copper,Spool of Copper,Spool of Copper,matched,5,ingredient; page_item; used_in_target,1,Spool of Copper,Item,Items,Y,
corn,Corn,Corn,matched,5,ingredient; page_item,1,Corn,Crop,Crops,Y,
corn husk doll,Corn Husk Doll,Corn Husk Doll,matched,4,page_item; used_in_target,1,Corn Husk Doll,Item,Items,Y,
corn oil,Corn Oil,Corn Oil,matched,8,ingredient; page_item; used_in_target,1,Corn Oil,Item,Items,Y,
corn ball,Corn Ball,Corn Ball,matched,1,page_item,1,Corn Ball,Item,Items,Y,
corn bread,Corn Bread,Corn Bread,matched,1,page_item,1,Corn Bread,Item,Items,N,
corn buddy doll,Corn Buddy Doll,Corn Buddy Doll,matched,1,page_item,1,Corn Buddy Doll,Item,Items,Y,
red twine,Red Twine,Red Twine,matched,5,ingredient; page_item; used_in_target,1,Red Twine,Item,Items,Y,
corn kabob,Corn Kabob,Corn Kabob,matched,1,page_item,1,Corn Kabob,Event,Event,Y,
mayonnaise,Mayonnaise,Mayonnaise,matched,5,page_item; used_in_target,1,Mayonnaise,Item,Items,Y,
fancy table,Fancy Table,Fancy Table,matched,6,page_item; used_in_target,1,Fancy Table,Item,Items,Y,
polished boot,Polished Boot,Polished Boot,matched,4,ingredient; page_item; used_in_target,1,Polished Boot,Item,Items,Y,
corn prize bag,Corn Prize Bag,Corn Prize Bag,matched,1,page_item,1,Corn Prize Bag,Item,Items,Y,
corn seeds,Corn Seeds,Corn Seeds,matched,1,page_item,1,Corn Seeds,Seed,Seeds,Y,
corn speedrun trophy,Corn Speedrun Trophy,Corn Speedrun Trophy,matched,1,page_item,1,Corn Speedrun Trophy,Item,Items,Y,
cornucopia 01,Cornucopia 01,Cornucopia 01,matched,1,page_item,1,Cornucopia 01,Item,Items,Y,
cornucopia 02,Cornucopia 02,Cornucopia 02,matched,1,page_item,1,Cornucopia 02,Item,Items,Y,
cornucopia 03,Cornucopia 03,Cornucopia 03,matched,1,page_item,1,Cornucopia 03,Item,Items,Y,
green cloak,Green Cloak,Green Cloak,matched,5,page_item; used_in_target,1,Green Cloak,Item,Items,Y,
sail cloth,Sail Cloth,Sail Cloth,matched,4,ingredient; page_item; used_in_target,1,Sail Cloth,Item,Items,Y,
fancy chair,Fancy Chair,Fancy Chair,matched,9,ingredient; page_item; used_in_target,1,Fancy Chair,Item,Items,Y,
white cloak,White Cloak,White Cloak,matched,5,page_item; used_in_target,1,White Cloak,Item,Items,Y,
cotton candy,Cotton Candy,Cotton Candy,matched,1,page_item,1,Cotton Candy,Event,Event,Y,
cotton seeds,Cotton Seeds,Cotton Seeds,matched,1,page_item,1,Cotton Seeds,Seed,Seeds,Y,
cptthomas bobblehead,CptThomas Bobblehead,CptThomas Bobblehead,matched,1,page_item,1,CptThomas Bobblehead,Item,Items,Y,
crab,Crab,Crab,matched,2,ingredient; page_item,1,Crab,Fish,Fish,Y,
crab claw,Crab Claw,Crab Claw,matched,1,page_item,1,Crab Claw,Item,Items,Y,
cranberry juice,Cranberry Juice,Cranberry Juice,matched,1,page_item,1,Cranberry Juice,Item,Items,Y,
crappie,Crappie,Crappie,matched,1,page_item,1,Crappie,Fish,Fish,Y,
cricket,Cricket,Cricket,matched,1,page_item,1,Cricket,Item,Items,Y,
crowfish,Crowfish,Crowfish,matched,1,page_item,1,Crowfish,Fish,Fish,Y,
crunchy omelette,Crunchy Omelette,Crunchy Omelette,matched,1,page_item,1,Crunchy Omelette,Event,Event,Y,
crystal pickaxe,Crystal Pickaxe,Crystal Pickaxe,matched,6,page_item; used_in_target,1,Crystal Pickaxe,Item,Items,Y,
fairy crystal,Fairy Crystal,Fairy Crystal,matched,2,ingredient; page_item,1,Fairy Crystal,Item,Items,Y,
