item_name,canonical_key,mastery_possible,farmrpg_item_id,buddy_slug,source_datasets,notes
Cecil's Shrimp-a-Plenty,cecil's shrimp-a-plenty,unknown,651,cecil-s-shrimp-a-plenty,buddy_item_evidence_cache;recipes.recipe_book,
Cepathorf's Case,cepathorf's case,unknown,703,cepathorf-s-case,buddy_item_evidence_cache,
Certificate of Beet Giving,certificate of beet giving,unknown,1012,certificate-of-beet-giving,buddy_item_evidence_cache,
Certificate of Broccoli Giving,certificate of broccoli giving,unknown,1009,certificate-of-broccoli-giving,buddy_item_evidence_cache,
Certificate of Cabbage Giving,certificate of cabbage giving,unknown,1005,certificate-of-cabbage-giving,buddy_item_evidence_cache,
Certificate of Carrot Giving,certificate of carrot giving,unknown,993,certificate-of-carrot-giving,buddy_item_evidence_cache,
Certificate of Corn Giving,certificate of corn giving,unknown,1004,certificate-of-corn-giving,buddy_item_evidence_cache,
Certificate of Cotton Giving,certificate of cotton giving,unknown,1010,certificate-of-cotton-giving,buddy_item_evidence_cache,
Certificate of Cucumber Giving,certificate of cucumber giving,unknown,995,certificate-of-cucumber-giving,buddy_item_evidence_cache,
Certificate of Eggplant Giving,certificate of eggplant giving,unknown,996,certificate-of-eggplant-giving,buddy_item_evidence_cache,
Certificate of Hops Giving,certificate of hops giving,unknown,999,certificate-of-hops-giving,buddy_item_evidence_cache,
Certificate of Leek Giving,certificate of leek giving,unknown,1002,certificate-of-leek-giving,buddy_item_evidence_cache,
Certificate of Onion Giving,certificate of onion giving,unknown,998,certificate-of-onion-giving,buddy_item_evidence_cache,
Certificate of Pea Giving,certificate of pea giving,unknown,994,certificate-of-pea-giving,buddy_item_evidence_cache,
Certificate of Pepper Giving,certificate of pepper giving,unknown,992,certificate-of-pepper-giving,buddy_item_evidence_cache,
Certificate of Pine Giving,certificate of pine giving,unknown,1006,certificate-of-pine-giving,buddy_item_evidence_cache,
Certificate of Potato Giving,certificate of potato giving,unknown,1000,certificate-of-potato-giving,buddy_item_evidence_cache,
Certificate of Pumpkin Giving,certificate of pumpkin giving,unknown,1007,certificate-of-pumpkin-giving,buddy_item_evidence_cache,
Certificate of Radish Giving,certificate of radish giving,unknown,997,certificate-of-radish-giving,buddy_item_evidence_cache,
Certificate of Rice Giving,certificate of rice giving,unknown,1013,certificate-of-rice-giving,buddy_item_evidence_cache,
Certificate of Sugar Cane Giving,certificate of sugar cane giving,unknown,1308,certificate-of-sugar-cane-giving,buddy_item_evidence_cache,
Certificate of Sunflower Giving,certificate of sunflower giving,unknown,1011,certificate-of-sunflower-giving,buddy_item_evidence_cache,
Certificate of Tomato Giving,certificate of tomato giving,unknown,1001,certificate-of-tomato-giving,buddy_item_evidence_cache,
Certificate of Watermelon Giving,certificate of watermelon giving,unknown,1003,certificate-of-watermelon-giving,buddy_item_evidence_cache,
Certificate of Wheat Giving,certificate of wheat giving,unknown,1008,certificate-of-wheat-giving,buddy_item_evidence_cache,
Chapiku,chapiku,unknown,1460,chapiku,buddy_item_evidence_cache,
Charles Bobblehead,charles bobblehead,unknown,1051,charles-bobblehead,buddy_item_evidence_cache,
Charles's Neigh,charles's neigh,unknown,655,charles-s-neigh,buddy_item_evidence_cache;recipes.recipe_book,
Chattering Teeth,chattering teeth,unknown,356,chattering-teeth,buddy_item_evidence_cache,
Cheese,cheese,unknown,186,cheese,buddy_item_evidence_cache;recipe_inputs.input,
Cheese Wheel,cheese wheel,unknown,1266,cheese-wheel,buddy_item_evidence_cache,
Chocolate Bunny,chocolate bunny,unknown,541,chocolate-bunny,buddy_item_evidence_cache,
Christmas Card,christmas card,unknown,674,christmas-card,buddy_item_evidence_cache,
Christmas Present 01,christmas present 01,unknown,399,christmas-present-01,buddy_item_evidence_cache,
Christmas Present 02,christmas present 02,unknown,429,christmas-present-02,buddy_item_evidence_cache,
Christmas Present 03,christmas present 03,unknown,430,christmas-present-03,buddy_item_evidence_cache,
Christmas Present 04,christmas present 04,unknown,431,christmas-present-04,buddy_item_evidence_cache,
Christmas Present 05,christmas present 05,unknown,432,christmas-present-05,buddy_item_evidence_cache,
Christmas Present 06,christmas present 06,unknown,433,christmas-present-06,buddy_item_evidence_cache,
Christmas Present 07,christmas present 07,unknown,434,christmas-present-07,buddy_item_evidence_cache,
Christmas Present 08,christmas present 08,unknown,435,christmas-present-08,buddy_item_evidence_cache,
Christmas Present 09,christmas present 09,unknown,436,christmas-present-09,buddy_item_evidence_cache,
Christmas Present 10,christmas present 10,unknown,437,christmas-present-10,buddy_item_evidence_cache,
Christmas Present 11,christmas present 11,unknown,438,christmas-present-11,buddy_item_evidence_cache,
Christmas Present 12,christmas present 12,unknown,439,christmas-present-12,buddy_item_evidence_cache,
Christmas Stocking,christmas stocking,unknown,419,christmas-stocking,buddy_item_evidence_cache,
Christmas Sweater,christmas sweater,unknown,424,christmas-sweater,buddy_item_evidence_cache,
Christmas Tree,christmas tree,yes,408,christmas-tree,buddy_item_evidence_cache;mastery_difficulty,
Chum,chum,yes,481,chum,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Cicada,cicada,yes,1247,cicada,buddy_item_evidence_cache;mastery_difficulty,
Cicada Shell,cicada shell,yes,1248,cicada-shell,buddy_item_evidence_cache;mastery_difficulty,
Cid Bobblehead,cid bobblehead,unknown,1154,cid-bobblehead,buddy_item_evidence_cache,
Cid's Stone Ale,cid's stone ale,unknown,400,cid-s-stone-ale,buddy_item_evidence_cache,
Circuit Breaker Belt,circuit breaker belt,unknown,892,circuit-breaker-belt,buddy_item_evidence_cache,
Clam Shell,clam shell,yes,97,clam-shell,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;tower_requirements,
Clawed Card,clawed card,unknown,749,clawed-card,buddy_item_evidence_cache,
Cleaver,cleaver,unknown,873,cleaver,buddy_item_evidence_cache,
Cloth,cloth,yes,1409,cloth,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Clownfish,clownfish,yes,99,clownfish,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Clubs,clubs,unknown,605,clubs,buddy_item_evidence_cache,
Coal,coal,unknown,103,coal,buddy_item_evidence_cache;recipe_inputs.input,
Cockatrice Egg,cockatrice egg,unknown,1199,cockatrice-egg,buddy_item_evidence_cache,
Cockatrice Ether Source,cockatrice ether source,unknown,1229,cockatrice-ether-source,buddy_item_evidence_cache,
Coconut,coconut,unknown,1085,coconut,buddy_item_evidence_cache,
Coconut Water,coconut water,unknown,1505,coconut-water,buddy_item_evidence_cache,
Coderanger's Missing Semicolon,coderanger's missing semicolon,unknown,968,coderanger-s-missing-semicolon,buddy_item_evidence_cache,
Cogwheel,cogwheel,unknown,215,cogwheel,buddy_item_evidence_cache;recipe_inputs.input,
Coin Purse,coin purse,yes,122,coin-purse,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Comet,comet,unknown,444,comet,buddy_item_evidence_cache,
Comet Egg,comet egg,unknown,1472,comet-egg,buddy_item_evidence_cache,
Compass,compass,yes,315,compass,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output,
Conch Shell,conch shell,yes,101,conch-shell,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;tower_requirements,
Concord Grape Pie,concord grape pie,yes,726,concord-grape-pie,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Congratulations Card,congratulations card,unknown,746,congratulations-card,buddy_item_evidence_cache,
Consumption Belt,consumption belt,unknown,1139,consumption-belt,buddy_item_evidence_cache,
Control Box,control box,yes,681,control-box,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output,
Cooked Fish,cooked fish,unknown,1177,cooked-fish,buddy_item_evidence_cache,
Cooked Turkey,cooked turkey,unknown,391,cooked-turkey,buddy_item_evidence_cache,
Cooking Pot,cooking pot,yes,637,cooking-pot,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output,
Copper Wire,copper wire,unknown,591,copper-wire,buddy_item_evidence_cache;recipe_inputs.input,
Corn,corn,yes,65,corn,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input,
Corn Ball,corn ball,unknown,1019,corn-ball,buddy_item_evidence_cache,
Corn Bread,corn bread,unknown,1213,corn-bread,buddy_item_evidence_cache,
Corn Buddy Doll,corn buddy doll,unknown,1226,corn-buddy-doll,buddy_item_evidence_cache,
Corn Husk Doll,corn husk doll,yes,846,corn-husk-doll,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Corn Kabob,corn kabob,unknown,567,corn-kabob,buddy_item_evidence_cache,
Corn Oil,corn oil,yes,629,corn-oil,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Corn Prize Bag,corn prize bag,unknown,602,corn-prize-bag,buddy_item_evidence_cache,
Corn Seeds,corn seeds,unknown,64,corn-seeds,buddy_item_evidence_cache,
Corn Speedrun Trophy,corn speedrun trophy,unknown,1316,corn-speedrun-trophy,buddy_item_evidence_cache,
Cornucopia 01,cornucopia 01,unknown,377,cornucopia-01,buddy_item_evidence_cache,
Cornucopia 02,cornucopia 02,unknown,880,cornucopia-02,buddy_item_evidence_cache,
Cornucopia 03,cornucopia 03,unknown,1323,cornucopia-03,buddy_item_evidence_cache,
Cotton,cotton,yes,254,cotton,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;tower_requirements,
Cotton Candy,cotton candy,unknown,1343,cotton-candy,buddy_item_evidence_cache,
Cotton Seeds,cotton seeds,unknown,255,cotton-seeds,buddy_item_evidence_cache,
CptThomas Bobblehead,cptthomas bobblehead,unknown,1064,cptthomas-bobblehead,buddy_item_evidence_cache,
Crab,crab,yes,574,crab,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;tower_requirements,
Crab Claw,crab claw,yes,475,crab-claw,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Cranberry Juice,cranberry juice,unknown,883,cranberry-juice,buddy_item_evidence_cache,
Crappie,crappie,yes,39,crappie,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Cricket,cricket,unknown,1042,cricket,buddy_item_evidence_cache,
Croissant,croissant,no,1538,croissant,buddy_item_evidence_cache;new_item_intake_2026_08_08,Promoted for BL-325 from user-confirmed new item evidence and cached Buddy page-data. User confirmed not masterable. Source: https://buddy.farm/i/croissant/; Page data: https://buddy.farm/page-data/i/croissant/page-data.json; Cache: croissant__croissant.json; Parser: buddy-item-multi-source-v1
Crossbow,crossbow,yes,585,crossbow,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Crowbar,crowbar,unknown,1507,crowbar,buddy_item_evidence_cache,
Crowfish,crowfish,yes,689,crowfish,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Crown of Clover,crown of clover,yes,1442,crown-of-clover,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Crunchy Omelette,crunchy omelette,yes,756,crunchy-omelette,buddy_item_evidence_cache;mastery_difficulty,
Crystal Pickaxe,crystal pickaxe,yes,921,crystal-pickaxe,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Cucumber,cucumber,yes,29,cucumber,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input,
Cucumber Seeds,cucumber seeds,unknown,30,cucumber-seeds,buddy_item_evidence_cache,
Cupid,cupid,unknown,445,cupid,buddy_item_evidence_cache,
Cupid Buddy Doll,cupid buddy doll,unknown,1190,cupid-buddy-doll,buddy_item_evidence_cache,
Cursed Effigy,cursed effigy,unknown,1018,cursed-effigy,buddy_item_evidence_cache,
Cursed Effigy Body,cursed effigy body,unknown,1015,cursed-effigy-body,buddy_item_evidence_cache,
Cursed Effigy Gem,cursed effigy gem,unknown,1017,cursed-effigy-gem,buddy_item_evidence_cache,
Cursed Effigy Hair,cursed effigy hair,unknown,1016,cursed-effigy-hair,buddy_item_evidence_cache,
Cursed Effigy Head,cursed effigy head,unknown,1014,cursed-effigy-head,buddy_item_evidence_cache,
Cursed Shield,cursed shield,unknown,1317,cursed-shield,buddy_item_evidence_cache,
Cutlass,cutlass,unknown,581,cutlass,buddy_item_evidence_cache,
Cyclops Spider,cyclops spider,unknown,383,cyclops-spider,buddy_item_evidence_cache,
Dancer,dancer,unknown,441,dancer,buddy_item_evidence_cache,
Dasher,dasher,unknown,440,dasher,buddy_item_evidence_cache,
Day Off Voucher,day off voucher,unknown,1481,day-off-voucher,buddy_item_evidence_cache,
Desk Calendar,desk calendar,unknown,806,desk-calendar,buddy_item_evidence_cache,
Dewstar's Journal,dewstar's journal,unknown,1274,dewstar-s-journal,buddy_item_evidence_cache,
Diamond,diamond,unknown,175,diamond,buddy_item_evidence_cache;recipe_inputs.input,
Diamonds,diamonds,unknown,606,diamonds,buddy_item_evidence_cache,
Diary of O'Dynn,diary of o'dynn,unknown,513,diary-of-o-dynn,buddy_item_evidence_cache,
Dice,dice,unknown,212,dice,buddy_item_evidence_cache,
Dino Buddy Doll,dino buddy doll,unknown,1250,dino-buddy-doll,buddy_item_evidence_cache,
Diving Helmet,diving helmet,unknown,267,diving-helmet,buddy_item_evidence_cache,
Donner,donner,unknown,446,donner,buddy_item_evidence_cache,
Dragon Heart,dragon heart,unknown,626,dragon-heart,buddy_item_evidence_cache,
Dragon Skull,dragon skull,unknown,261,dragon-skull,buddy_item_evidence_cache,
Dragonfly,dragonfly,unknown,384,dragonfly,buddy_item_evidence_cache,
Dream Nail,dream nail,unknown,1295,dream-nail,buddy_item_evidence_cache,
Drink Bundle,drink bundle,unknown,548,drink-bundle,buddy_item_evidence_cache,
Drum,drum,yes,17,drum,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Duck Egg,duck egg,unknown,1351,duck-egg,buddy_item_evidence_cache,
Duck Feather,duck feather,unknown,890,duck-feather,buddy_item_evidence_cache;recipe_inputs.input,
Egg 01,egg 01,unknown,521,egg-01,buddy_item_evidence_cache,
Egg 02,egg 02,unknown,522,egg-02,buddy_item_evidence_cache,
Egg 03,egg 03,unknown,523,egg-03,buddy_item_evidence_cache,
Egg 04,egg 04,unknown,524,egg-04,buddy_item_evidence_cache,
Egg 05,egg 05,unknown,525,egg-05,buddy_item_evidence_cache,
Egg 06,egg 06,unknown,518,egg-06,buddy_item_evidence_cache,
Egg 07,egg 07,unknown,526,egg-07,buddy_item_evidence_cache,
Egg 08,egg 08,unknown,527,egg-08,buddy_item_evidence_cache,
Egg 09,egg 09,unknown,528,egg-09,buddy_item_evidence_cache,
Egg 10,egg 10,unknown,529,egg-10,buddy_item_evidence_cache,
Egg 11,egg 11,unknown,530,egg-11,buddy_item_evidence_cache,
Egg 12,egg 12,unknown,531,egg-12,buddy_item_evidence_cache,
Egg Basket,egg basket,unknown,753,egg-basket,buddy_item_evidence_cache,
Egg Buddy Doll,egg buddy doll,unknown,1477,egg-buddy-doll,buddy_item_evidence_cache,
Egg of Ages,egg of ages,unknown,1029,egg-of-ages,buddy_item_evidence_cache,
Egg of Air,egg of air,unknown,1021,egg-of-air,buddy_item_evidence_cache,
Egg of Chaos,egg of chaos,unknown,1022,egg-of-chaos,buddy_item_evidence_cache,
Egg of Chicken,egg of chicken,unknown,1232,egg-of-chicken,buddy_item_evidence_cache,
Egg of Duck,egg of duck,unknown,1436,egg-of-duck,buddy_item_evidence_cache,
Egg of Earth,egg of earth,unknown,1023,egg-of-earth,buddy_item_evidence_cache,
Egg of Fire,egg of fire,unknown,1024,egg-of-fire,buddy_item_evidence_cache,
Egg of Life,egg of life,unknown,1025,egg-of-life,buddy_item_evidence_cache,
Egg of Light,egg of light,unknown,1026,egg-of-light,buddy_item_evidence_cache,
Egg of Shadow,egg of shadow,unknown,1027,egg-of-shadow,buddy_item_evidence_cache,
Egg of Space,egg of space,unknown,1028,egg-of-space,buddy_item_evidence_cache,
Egg of Tree,egg of tree,unknown,1455,egg-of-tree,buddy_item_evidence_cache,
Egg of Water,egg of water,unknown,1030,egg-of-water,buddy_item_evidence_cache,
Egg of Zeal,egg of zeal,unknown,1038,egg-of-zeal,buddy_item_evidence_cache,
Eggplant,eggplant,yes,13,eggplant,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input,
Eggplant Seeds,eggplant seeds,unknown,14,eggplant-seeds,buddy_item_evidence_cache,
Eggs,eggs,unknown,26,eggs,buddy_item_evidence_cache;recipe_inputs.input,
Eggypalchi,eggypalchi,unknown,1482,eggypalchi,buddy_item_evidence_cache,
Egyptian Necklace,egyptian necklace,unknown,371,egyptian-necklace,buddy_item_evidence_cache,
Embershard,embershard,unknown,923,embershard,buddy_item_evidence_cache,
Emberstone,emberstone,unknown,178,emberstone,buddy_item_evidence_cache;recipe_inputs.input,
Emerald,emerald,yes,143,emerald,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Emerald Ring,emerald ring,yes,146,emerald-ring,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Energy Coil,energy coil,yes,680,energy-coil,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Energy Core,energy core,unknown,353,energy-core,buddy_item_evidence_cache,
Engine,engine,yes,685,engine,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Esperium,esperium,unknown,821,esperium,buddy_item_evidence_cache,
Essence of Slime,essence of slime,yes,492,essence-of-slime,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Event Key,event key,unknown,819,event-key,buddy_item_evidence_cache,
Event Token,event token,unknown,1097,event-token,buddy_item_evidence_cache,
Event Token Purse,event token purse,unknown,1264,event-token-purse,buddy_item_evidence_cache,
Expired Ticket,expired ticket,unknown,828,expired-ticket,buddy_item_evidence_cache,
Explosive,explosive,yes,106,explosive,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Eye Patch,eye patch,unknown,245,eye-patch,buddy_item_evidence_cache,
Fairy Crystal,fairy crystal,unknown,903,fairy-crystal,buddy_item_evidence_cache;recipe_inputs.input,
Fall Basket,fall basket,unknown,636,fall-basket,buddy_item_evidence_cache,
Fall Leaves,fall leaves,unknown,1284,fall-leaves,buddy_item_evidence_cache,
Fancy Box,fancy box,unknown,348,fancy-box,buddy_item_evidence_cache,
Fancy Chair,fancy chair,yes,736,fancy-chair,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output,
Fancy Clock,fancy clock,yes,1136,fancy-clock,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Fancy Drum,fancy drum,yes,474,fancy-drum,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Fancy Guitar,fancy guitar,yes,393,fancy-guitar,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Fancy Pan Flute,fancy pan flute,yes,737,fancy-pan-flute,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Fancy Pillow,fancy pillow,yes,1439,fancy-pillow,buddy_item_evidence_cache;recipes.output;user_mastery_eligibility_review_2026_08_08,Promoted in BL-326 from explicit user confirmation; the supplied export snapshots did not contain this item.
Fancy Pipe,fancy pipe,yes,301,fancy-pipe,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Fancy Present,fancy present,unknown,936,fancy-present,buddy_item_evidence_cache,
Fancy Shoe,fancy shoe,unknown,669,fancy-shoe,buddy_item_evidence_cache,
Fancy Sword,fancy sword,yes,1328,fancy-sword,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Fancy Table,fancy table,yes,774,fancy-table,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Fancy Violin,fancy violin,yes,817,fancy-violin,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Fangs,fangs,unknown,1121,fangs,buddy_item_evidence_cache,
Fantastic Buddy Doll,fantastic buddy doll,unknown,1236,fantastic-buddy-doll,buddy_item_evidence_cache,
Farmiversary Trophy 01,farmiversary trophy 01,unknown,1483,farmiversary-trophy-01,buddy_item_evidence_cache,
Farmiversary Trophy 02,farmiversary trophy 02,unknown,1484,farmiversary-trophy-02,buddy_item_evidence_cache,
Farmiversary Trophy 03,farmiversary trophy 03,unknown,1485,farmiversary-trophy-03,buddy_item_evidence_cache,
Farmiversary Trophy 04,farmiversary trophy 04,unknown,1486,farmiversary-trophy-04,buddy_item_evidence_cache,
Farmiversary Trophy 05,farmiversary trophy 05,unknown,1487,farmiversary-trophy-05,buddy_item_evidence_cache,
Farmiversary Trophy 06,farmiversary trophy 06,unknown,1488,farmiversary-trophy-06,buddy_item_evidence_cache,
Feathers,feathers,unknown,42,feathers,buddy_item_evidence_cache;recipe_inputs.input,
Feed,feed,yes,275,feed,buddy_item_evidence_cache;mastery_difficulty,
Fenrir's Coin,fenrir's coin,unknown,1122,fenrir-s-coin,buddy_item_evidence_cache,
Fern Leaf,fern leaf,unknown,52,fern-leaf,buddy_item_evidence_cache;recipe_inputs.input,
Festive Eggnog,festive eggnog,yes,1157,festive-eggnog,buddy_item_evidence_cache;mastery_difficulty,
Fire Ant,fire ant,unknown,286,fire-ant,buddy_item_evidence_cache;recipe_inputs.input,
Fire Ant Farm,fire ant farm,yes,1089,fire-ant-farm,buddy_item_evidence_cache;mastery_difficulty;recipes.output;tower_requirements,
Fire Crystal,fire crystal,unknown,914,fire-crystal,buddy_item_evidence_cache,
Firestream's Magic Wire,firestream's magic wire,unknown,970,firestream-s-magic-wire,buddy_item_evidence_cache,
Fireworks,fireworks,unknown,452,fireworks,buddy_item_evidence_cache,
Fish and Chips,fish and chips,unknown,1269,fish-and-chips,buddy_item_evidence_cache,
Fish Biscuit,fish biscuit,unknown,1176,fish-biscuit,buddy_item_evidence_cache,
Fish Bones,fish bones,yes,45,fish-bones,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;tower_requirements,
Fish Flakes,fish flakes,unknown,1503,fish-flakes,buddy_item_evidence_cache,
Fishing Hook,fishing hook,unknown,1254,fishing-hook,buddy_item_evidence_cache,
Fishing Net,fishing net,yes,194,fishing-net,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output;tower_requirements,
Five Point Mace,five point mace,unknown,975,five-point-mace,buddy_item_evidence_cache,
Flame Orb,flame orb,unknown,343,flame-orb,buddy_item_evidence_cache,
Flamejack,flamejack,yes,232,flamejack,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Flarefin,flarefin,yes,234,flarefin,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Flarite,flarite,yes,927,flarite,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output,
Flier,flier,yes,173,flier,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Flour,flour,yes,276,flour,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input,
Fluorifish,fluorifish,yes,201,fluorifish,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Flying Machine,flying machine,yes,885,flying-machine,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Flywheel,flywheel,yes,341,flywheel,buddy_item_evidence_cache;mastery_difficulty;recipe_inputs.input;recipes.output,
Forcepath's Book of Quest Requirements,forcepath's book of quest requirements,unknown,967,forcepath-s-book-of-quest-requirements,buddy_item_evidence_cache,
Fossilized Frog,fossilized frog,unknown,910,fossilized-frog,buddy_item_evidence_cache,
Fossilized Leaf,fossilized leaf,unknown,919,fossilized-leaf,buddy_item_evidence_cache,
Fossilized Print,fossilized print,unknown,857,fossilized-print,buddy_item_evidence_cache,
Fossilized Shell,fossilized shell,unknown,931,fossilized-shell,buddy_item_evidence_cache,
frank Bobblehead,frank bobblehead,unknown,1068,frank-bobblehead,buddy_item_evidence_cache,
frank's Basket,frank's basket,unknown,519,frank-s-basket,buddy_item_evidence_cache,
frank's Bunny Mask,frank's bunny mask,unknown,1206,frank-s-bunny-mask,buddy_item_evidence_cache,
Freaky Picture,freaky picture,unknown,259,freaky-picture,buddy_item_evidence_cache,
Friendship Bag 01,friendship bag 01,unknown,1148,friendship-bag-01,buddy_item_evidence_cache,
Friendship Bracelet,friendship bracelet,unknown,544,friendship-bracelet,buddy_item_evidence_cache,
Frog,frog,unknown,479,frog,buddy_item_evidence_cache,
Frost Shield,frost shield,yes,717,frost-shield,buddy_item_evidence_cache;mastery_difficulty;recipes.output,
Frost Snapper Shell,frost snapper shell,unknown,697,frost-snapper-shell,buddy_item_evidence_cache;recipe_inputs.input,
Frosteye,frosteye,yes,688,frosteye,buddy_item_evidence_cache;mastery_difficulty;tower_requirements,
Frozen Angelfish,frozen angelfish,yes,953,frozen-angelfish,buddy_item_evidence_cache;mastery_difficulty,
Frozen Biter,frozen biter,yes,950,frozen-biter,buddy_item_evidence_cache;mastery_difficulty,
Frozen Bones,frozen bones,yes,951,frozen-bones,buddy_item_evidence_cache;mastery_difficulty,
Frozen Book,frozen book,yes,961,frozen-book,buddy_item_evidence_cache;mastery_difficulty,
Frozen Boot,frozen boot,yes,946,frozen-boot,buddy_item_evidence_cache;mastery_difficulty,
Frozen Bouquet,frozen bouquet,unknown,964,frozen-bouquet,buddy_item_evidence_cache,
Frozen Buddy Doll,frozen buddy doll,unknown,1174,frozen-buddy-doll,buddy_item_evidence_cache,
Frozen Cabbage,frozen cabbage,yes,707,frozen-cabbage,buddy_item_evidence_cache;mastery_difficulty,
Frozen Catfish,frozen catfish,yes,948,frozen-catfish,buddy_item_evidence_cache;mastery_difficulty,
Frozen Chest 01,frozen chest 01,unknown,963,frozen-chest-01,buddy_item_evidence_cache,
Frozen Chest 02,frozen chest 02,unknown,1175,frozen-chest-02,buddy_item_evidence_cache,
Frozen Chest 03,frozen chest 03,unknown,1349,frozen-chest-03,buddy_item_evidence_cache,
Frozen Coin,frozen coin,yes,959,frozen-coin,buddy_item_evidence_cache;mastery_difficulty,
Frozen Corn,frozen corn,yes,966,frozen-corn,buddy_item_evidence_cache;mastery_difficulty,
Frozen Crab Claw,frozen crab claw,yes,960,frozen-crab-claw,buddy_item_evidence_cache;mastery_difficulty,
Frozen Dagger,frozen dagger,yes,958,frozen-dagger,buddy_item_evidence_cache;mastery_difficulty,
Frozen Feather,frozen feather,yes,957,frozen-feather,buddy_item_evidence_cache;mastery_difficulty,
Frozen Fishing Net,frozen fishing net,unknown,938,frozen-fishing-net,buddy_item_evidence_cache,
Frozen Hops,frozen hops,yes,1347,frozen-hops,buddy_item_evidence_cache;mastery_difficulty,
Frozen Jelly,frozen jelly,yes,952,frozen-jelly,buddy_item_evidence_cache;mastery_difficulty,
Frozen Large Net,frozen large net,unknown,939,frozen-large-net,buddy_item_evidence_cache,
Frozen Lobster,frozen lobster,yes,949,frozen-lobster,buddy_item_evidence_cache;mastery_difficulty,
Frozen Manta Ray,frozen manta ray,yes,945,frozen-manta-ray,buddy_item_evidence_cache;mastery_difficulty,
Frozen Peas,frozen peas,yes,706,frozen-peas,buddy_item_evidence_cache;mastery_difficulty,
Frozen Pine,frozen pine,yes,708,frozen-pine,buddy_item_evidence_cache;mastery_difficulty,
Frozen Playground Key,frozen playground key,unknown,704,frozen-playground-key,buddy_item_evidence_cache,
Frozen Radish,frozen radish,yes,1171,frozen-radish,buddy_item_evidence_cache;mastery_difficulty,
Frozen Sheepshead,frozen sheepshead,yes,943,frozen-sheepshead,buddy_item_evidence_cache;mastery_difficulty,
Frozen Shell,frozen shell,yes,947,frozen-shell,buddy_item_evidence_cache;mastery_difficulty,
Frozen Skull,frozen skull,yes,956,frozen-skull,buddy_item_evidence_cache;mastery_difficulty,
Frozen Spyfish,frozen spyfish,yes,944,frozen-spyfish,buddy_item_evidence_cache;mastery_difficulty,
Frozen Squid,frozen squid,yes,942,frozen-squid,buddy_item_evidence_cache;mastery_difficulty,
