alias_name,alias_key,canonical_item_name,canonical_key,review_status,source,notes
Re Taw,re taw,Re'taw,re'taw,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/re-taw/; Page data: https://buddy.farm/page-data/i/re-taw/page-data.json; Cache: re-taw__re-taw.json
Re Taw Pail,re taw pail,Re'taw Pail,re'taw pail,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/re-taw-pail/; Page data: https://buddy.farm/page-data/i/re-taw-pail/page-data.json; Cache: re-taw-pail__re-taw-pail.json
Roomba S Over The Moon,roomba s over the moon,Roomba's Over The Moon,roomba's over the moon,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/roomba-s-over-the-moon/; Page data: https://buddy.farm/page-data/i/roomba-s-over-the-moon/page-data.json; Cache: roomba-s-over-the-moon__roomba-s-over-the-moon.json
Rosalie S Beach Tote,rosalie s beach tote,Rosalie's Beach Tote,rosalie's beach tote,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/rosalie-s-beach-tote/; Page data: https://buddy.farm/page-data/i/rosalie-s-beach-tote/page-data.json; Cache: rosalie-s-beach-tote__rosalie-s-beach-tote.json
Rosalie S Bone Broth,rosalie s bone broth,Rosalie's Bone Broth,rosalie's bone broth,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/rosalie-s-bone-broth/; Page data: https://buddy.farm/page-data/i/rosalie-s-bone-broth/page-data.json; Cache: rosalie-s-bone-broth__rosalie-s-bone-broth.json
Rosalie S Concord Grape Pie,rosalie s concord grape pie,Rosalie's Concord Grape Pie,rosalie's concord grape pie,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/rosalie-s-concord-grape-pie/; Page data: https://buddy.farm/page-data/i/rosalie-s-concord-grape-pie/page-data.json; Cache: rosalie-s-concord-grape-pie__rosalie-s-concord-grape-pie.json
Rosalie S Red Berry Pie,rosalie s red berry pie,Rosalie's Red Berry Pie,rosalie's red berry pie,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/rosalie-s-red-berry-pie/; Page data: https://buddy.farm/page-data/i/rosalie-s-red-berry-pie/page-data.json; Cache: rosalie-s-red-berry-pie__rosalie-s-red-berry-pie.json
Santa S Travel Belt,santa s travel belt,Santa's Travel Belt,santa's travel belt,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/santa-s-travel-belt/; Page data: https://buddy.farm/page-data/i/santa-s-travel-belt/page-data.json; Cache: santa-s-travel-belt__santa-s-travel-belt.json
Shrimp A Plenty,shrimp a plenty,Shrimp-a-Plenty,shrimp-a-plenty,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/shrimp-a-plenty/; Page data: https://buddy.farm/page-data/i/shrimp-a-plenty/page-data.json; Cache: shrimp-a-plenty__shrimp-a-plenty.json
Skull In The Box,skull in the box,Skull-in-the-box,skull-in-the-box,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/skull-in-the-box/; Page data: https://buddy.farm/page-data/i/skull-in-the-box/page-data.json; Cache: skull-in-the-box__skull-in-the-box.json
Star S Treasure Map,star s treasure map,Star's Treasure Map,star's treasure map,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/star-s-treasure-map/; Page data: https://buddy.farm/page-data/i/star-s-treasure-map/page-data.json; Cache: star-s-treasure-map__star-s-treasure-map.json
Support S Ticket,support s ticket,Support's Ticket,support's ticket,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/support-s-ticket/; Page data: https://buddy.farm/page-data/i/support-s-ticket/page-data.json; Cache: support-s-ticket__support-s-ticket.json
Tenfoo S Lost Sock,tenfoo s lost sock,Tenfoo's Lost Sock,tenfoo's lost sock,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/tenfoo-s-lost-sock/; Page data: https://buddy.farm/page-data/i/tenfoo-s-lost-sock/page-data.json; Cache: tenfoo-s-lost-sock__tenfoo-s-lost-sock.json
Thomas S Cat S Meow,thomas s cat s meow,Thomas's Cat's Meow,thomas's cat's meow,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/thomas-s-cat-s-meow/; Page data: https://buddy.farm/page-data/i/thomas-s-cat-s-meow/page-data.json; Cache: thomas-s-cat-s-meow__thomas-s-cat-s-meow.json
Thomas S Cup Of Pb,thomas s cup of pb,Thomas's Cup of PB,thomas's cup of pb,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/thomas-s-cup-of-pb/; Page data: https://buddy.farm/page-data/i/thomas-s-cup-of-pb/page-data.json; Cache: thomas-s-cup-of-pb__thomas-s-cup-of-pb.json
Thomas S Red Velvet Cake,thomas s red velvet cake,Thomas's Red Velvet Cake,thomas's red velvet cake,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/thomas-s-red-velvet-cake/; Page data: https://buddy.farm/page-data/i/thomas-s-red-velvet-cake/page-data.json; Cache: thomas-s-red-velvet-cake__thomas-s-red-velvet-cake.json
Thomas S Tavern Tote,thomas s tavern tote,Thomas's Tavern Tote,thomas's tavern tote,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/thomas-s-tavern-tote/; Page data: https://buddy.farm/page-data/i/thomas-s-tavern-tote/page-data.json; Cache: thomas-s-tavern-tote__thomas-s-tavern-tote.json
Traveler S Bag 01,traveler s bag 01,Traveler's Bag 01,traveler's bag 01,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/traveler-s-bag-01/; Page data: https://buddy.farm/page-data/i/traveler-s-bag-01/page-data.json; Cache: traveler-s-bag-01__traveler-s-bag-01.json
U Ral Talisman,u ral talisman,U'ral Talisman,u'ral talisman,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/u-ral-talisman/; Page data: https://buddy.farm/page-data/i/u-ral-talisman/page-data.json; Cache: u-ral-talisman__u-ral-talisman.json
Utal S Sabre,utal s sabre,Utal's Sabre,utal's sabre,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/utal-s-sabre/; Page data: https://buddy.farm/page-data/i/utal-s-sabre/page-data.json; Cache: utal-s-sabre__utal-s-sabre.json
Vincent S Sea Pincher Special,vincent s sea pincher special,Vincent's Sea Pincher Special,vincent's sea pincher special,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/vincent-s-sea-pincher-special/; Page data: https://buddy.farm/page-data/i/vincent-s-sea-pincher-special/page-data.json; Cache: vincent-s-sea-pincher-special__vincent-s-sea-pincher-special.json
Witch S Brew,witch s brew,Witch's Brew,witch's brew,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/witch-s-brew/; Page data: https://buddy.farm/page-data/i/witch-s-brew/page-data.json; Cache: witch-s-brew__witch-s-brew.json
Witch S Broom,witch s broom,Witch's Broom,witch's broom,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/witch-s-broom/; Page data: https://buddy.farm/page-data/i/witch-s-broom/page-data.json; Cache: witch-s-broom__witch-s-broom.json
Wizard S Second Favorite Feather,wizard s second favorite feather,Wizard's Second Favorite Feather,wizard's second favorite feather,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/wizard-s-second-favorite-feather/; Page data: https://buddy.farm/page-data/i/wizard-s-second-favorite-feather/page-data.json; Cache: wizard-s-second-favorite-feather__wizard-s-second-favorite-feather.json
Zho S Dagger,zho s dagger,Zho's Dagger,zho's dagger,approved,BL-253/BL-246 current Buddy evidence cache,Approved BL-264 source-system alias from complete cached Buddy parser output.; Preserves app canonical identity while recognizing punctuation-stripped Buddy/source keys.; Source: https://buddy.farm/i/zho-s-dagger/; Page data: https://buddy.farm/page-data/i/zho-s-dagger/page-data.json; Cache: zho-s-dagger__zho-s-dagger.json
